3.5,v,,hypervesiculated,,,,,,,,,315.7,,
5.6,m,,some horizons of mv; crude flow banding,,GB30,,,,,,,321.3,47.143413,-91.468487
90.2,cover,,,,"from [47.143413 N, -91.468487 E] to [47.142383 N, -91.457702 E] using 120-10",,,,,,,411.5,,
4.3,m,,pockets of mv,,GB31,,,,,,,415.8,47.137518,-91.459532
0.8,cover,,,,,,,,,,,416.6,,
1.2,m,,pockets of mv,,,,,,,,,417.8,,
1.05,cover,,,,,,,,,,,418.85,,
6.6,mv,,pockets of v,,,,,,,,,425.45,,
0.5,cover,,,,,,,,,,,425.95,,
2.6,v,,clastic dikes,,,,,,,,,428.55,,
10.4,cover,,,,"inferred flow top; from [47.140743 N, -91.46584 E] to [47.140449 N, -91.455531 E] using 120-10",,,,,,,438.95,,
5.4,m,,,,"GB32 - GB31/32 flow boundary at [47.137518 N, -91.459532 E]",,,,,,,444.35,47.140449,-91.455531
5.4,mv,,,,,,,,,,,449.75,,
1,mv/v,,,,,,,,,,,450.75,,
