tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
AX1-7b	AX1-7b_LP-DIR-T	AX1-7		mt	224.3	12.7	1	12	-1	1.1	1.0	Intrusive:Igneous	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:51:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX1
AX1-7b		AX1-7										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX1
AX1-7b		AX1-7										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX1
AX1-7b		AX1-7										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX1
AX1-7b	AX1-7b_LP-DIR-T	AX1-7		mt	294.7	45.4	1	12	0	1.1	1.0	Intrusive:Igneous	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:51:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX1
AX1-8b	AX1-8b_LP-DIR-T	AX1-8		mt	225.7	-2.2	1	14	-1	1.5	2.1	Intrusive:Igneous	Not Specified	Anorthosite	843	673	K		hargrave 2019-10-25 11:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX1
AX1-8b	AX1-8b_LP-DIR-T	AX1-8		mt	298.7	44.0	1	14	0	1.5	2.1	Intrusive:Igneous	Not Specified	Anorthosite	843	673	K		hargrave 2019-10-25 11:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX1
AX1-8b	AX1-8b_LP-DIR-T	AX1-8		mt	298.1	55.2	1	14	100	1.5	2.1	Intrusive:Igneous	Not Specified	Anorthosite	843	673	K		hargrave 2019-10-25 11:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX1
AX1-8b		AX1-8										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX1
AX1-8b		AX1-8										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX1
AX1-8b		AX1-8										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX1
AX10-1b		AX10-1										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-1b		AX10-1										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-1b	AX10-1b_LP-DIR-T	AX10-1		mt	276.3	38.5	1	17	100	0.6	2.3	Intrusive:Igneous	Not Specified	Anorthosite	858	748	K		hargrave 2019-12-02 18:20:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX10
AX10-1b	AX10-1b_LP-DIR-T	AX10-1		mt	282.6	28.6	1	17	0	0.6	2.3	Intrusive:Igneous	Not Specified	Anorthosite	858	748	K		hargrave 2019-12-02 18:20:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX10
AX10-1b	AX10-1b_LP-DIR-T	AX10-1		mt	260.5	28.9	1	17	-1	0.6	2.3	Intrusive:Igneous	Not Specified	Anorthosite	858	748	K		hargrave 2019-12-02 18:20:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX10
AX10-1b		AX10-1										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-2b	AX10-2b_LP-DIR-T	AX10-2		mt	275.7	38.8	1	16	100	0.2	2.1	Intrusive:Igneous	Not Specified	Anorthosite	858	773	K		hargrave 2019-12-02 18:21:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX10
AX10-2b	AX10-2b_LP-DIR-T	AX10-2		mt	259.0	28.2	1	16	-1	0.2	2.1	Intrusive:Igneous	Not Specified	Anorthosite	858	773	K		hargrave 2019-12-02 18:21:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX10
AX10-2b	AX10-2b_LP-DIR-T	AX10-2		mt	282.2	28.9	1	16	0	0.2	2.1	Intrusive:Igneous	Not Specified	Anorthosite	858	773	K		hargrave 2019-12-02 18:21:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX10
AX10-2b		AX10-2										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-2b		AX10-2										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-2b		AX10-2										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-3b		AX10-3										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-3b		AX10-3										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-3b		AX10-3										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX10
AX10-3b	AX10-3b_LP-DIR-T	AX10-3		mt	265.1	26.7	1	10	-1	1.6	1.8	Intrusive:Igneous	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-02 18:23:19	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX10
AX10-3b	AX10-3b_LP-DIR-T	AX10-3		mt	288.6	23.9	1	10	0	1.6	1.8	Intrusive:Igneous	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-02 18:23:19	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX10
AX10-3b	AX10-3b_LP-DIR-T	AX10-3		mt	283.9	34.8	1	10	100	1.6	1.8	Intrusive:Igneous	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-02 18:23:19	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX10
AX11-1b	AX11-1b_LP-DIR-T	AX11-1		mt	123.3	81.8	1	14	-1	0.6	1.2	Intrusive:Igneous	Not Specified	Anorthosite	918	828	K		hargrave 2019-12-06 14:56:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
AX11-1b	AX11-1b_LP-DIR-T	AX11-1		mt	281.1	36.9	1	14	100	0.6	1.2	Intrusive:Igneous	Not Specified	Anorthosite	918	828	K		hargrave 2019-12-06 14:56:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX11
AX11-1b		AX11-1										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-1b		AX11-1										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-1b		AX11-1										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-1b	AX11-1b_LP-DIR-T	AX11-1		mt	283.4	26.3	1	14	0	0.6	1.2	Intrusive:Igneous	Not Specified	Anorthosite	918	828	K		hargrave 2019-12-06 14:56:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-2b		AX11-2										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-2b		AX11-2										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-2b		AX11-2										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-2b	AX11-2b_LP-DIR-T	AX11-2		mt	277.1	29.3	1	12	100	2.3	1.4	Intrusive:Igneous	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:58:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX11
AX11-2b	AX11-2b_LP-DIR-T	AX11-2		mt	279.1	18.9	1	12	0	2.3	1.4	Intrusive:Igneous	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:58:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-2b	AX11-2b_LP-DIR-T	AX11-2		mt	226.0	68.0	1	12	-1	2.3	1.4	Intrusive:Igneous	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:58:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
AX11-4b		AX11-4										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-4b	AX11-4b_LP-DIR-T	AX11-4		mt	287.5	34.8	1	12	100	1.6	1.1	Intrusive:Igneous	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:59:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX11
AX11-4b	AX11-4b_LP-DIR-T	AX11-4		mt	288.9	23.9	1	12	0	1.6	1.1	Intrusive:Igneous	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:59:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-4b	AX11-4b_LP-DIR-T	AX11-4		mt	186.1	67.0	1	12	-1	1.6	1.1	Intrusive:Igneous	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:59:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
AX11-4b		AX11-4										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-4b		AX11-4										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-5b		AX11-5										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-5b		AX11-5										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-5b	AX11-5b_LP-DIR-T	AX11-5		mt	278.1	38.8	1	15	100	1.1	1.3	Intrusive:Igneous	Not Specified	Anorthosite	918	823	K		hargrave 2019-12-06 15:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX11
AX11-5b	AX11-5b_LP-DIR-T	AX11-5		mt	280.8	28.4	1	15	0	1.1	1.3	Intrusive:Igneous	Not Specified	Anorthosite	918	823	K		hargrave 2019-12-06 15:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-5b	AX11-5b_LP-DIR-T	AX11-5		mt	201.7	69.0	1	15	-1	1.1	1.3	Intrusive:Igneous	Not Specified	Anorthosite	918	823	K		hargrave 2019-12-06 15:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
AX11-5b		AX11-5										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-6b	AX11-6b_LP-DIR-T	AX11-6		mt	283.3	22.2	1	17	0	1.1	1.3	Intrusive:Igneous	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:02:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-6b		AX11-6										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-6b	AX11-6b_LP-DIR-T	AX11-6		mt	281.4	32.8	1	17	100	1.1	1.3	Intrusive:Igneous	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:02:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX11
AX11-6b		AX11-6										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-6b	AX11-6b_LP-DIR-T	AX11-6		mt	190.9	74.5	1	17	-1	1.1	1.3	Intrusive:Igneous	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:02:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
AX11-6b		AX11-6										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-7b		AX11-7										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-7b		AX11-7										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-7b	AX11-7b_LP-DIR-T	AX11-7		mt	163.5	78.2	1	12	-1	1.2	3.0	Intrusive:Igneous	Not Specified	Anorthosite	888	828	K		hargrave 2019-12-06 15:04:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
AX11-7b	AX11-7b_LP-DIR-T	AX11-7		mt	290.4	21.3	1	12	0	1.2	3.0	Intrusive:Igneous	Not Specified	Anorthosite	888	828	K		hargrave 2019-12-06 15:04:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-7b		AX11-7										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-7b	AX11-7b_LP-DIR-T	AX11-7		mt	289.2	32.2	1	12	100	1.2	3.0	Intrusive:Igneous	Not Specified	Anorthosite	888	828	K		hargrave 2019-12-06 15:04:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX11
AX11-8b		AX11-8										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-8b		AX11-8										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-8b		AX11-8										Igneous:Intrusive	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-8b	AX11-8b_LP-DIR-T	AX11-8		mt	194.3	70.5	1	14	-1	2.4	1.8	Intrusive:Igneous	Not Specified	Anorthosite	873	813	K		hargrave 2019-12-06 15:05:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
AX11-8b	AX11-8b_LP-DIR-T	AX11-8		mt	286.7	22.9	1	14	0	2.4	1.8	Intrusive:Igneous	Not Specified	Anorthosite	873	813	K		hargrave 2019-12-06 15:05:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-8b	AX11-8b_LP-DIR-T	AX11-8		mt	285.1	33.7	1	14	100	2.4	1.8	Intrusive:Igneous	Not Specified	Anorthosite	873	813	K		hargrave 2019-12-06 15:05:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Beaver Bay Complex	AX11
AX11-9b		AX11-9										Intrusive:Igneous	Not Specified	Anorthosite				Yiming Zhang				This study	LP-NOMAG	g			Beaver Bay Complex	AX11
AX11-9b	AX11-9b_LP-DIR-T	AX11-9		mt	286.2	24.1	1	16	0	2.0	1.2	Intrusive:Igneous	Not Specified	Anorthosite	903	813	K		hargrave 2019-12-06 15:06:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Beaver Bay Complex	AX11
AX11-9b	AX11-9b_LP-DIR-T	AX11-9		mt	163.0	74.1	1	16	-1	2.0	1.2	Intrusive:Igneous	Not Specified	Anorthosite	903	813	K		hargrave 2019-12-06 15:06:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Beaver Bay Complex	AX11
