tab	ages
age	location	site	sample	specimen	age_unit	citations	method_codes
	Beaver Bay Complex				Ma	This study	
>>>>>>>>>>
tab	locations
location	age	age_high	age_low	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Beaver Bay Complex	1091.83	1092.04	1091.62	Ma	47.2	47.2	268.6	268.6	Igneous:Intrusive	Anorthosite	Outcrop		This study
>>>>>>>>>>
tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
AX1-1b_LP-DIR-T-15	AX1-1b	AX1-1b_LP-DIR-T	0.9	215.2	26.1	0	0	0	0	14	823	This study	hargrave 2019-10-14 17:56:19	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.2.24-1	1.72e-07	6.01e-10	1.98e-09	2.09e-09
AX1-1b_LP-DIR-T-16	AX1-1b	AX1-1b_LP-DIR-T	1.3	218.1	25.5	0	0	0	0	15	828	This study	hargrave 2019-10-19 16:28:28	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.24-1	1.2099999999999998e-07	1.4300000000000002e-09	2.3e-09	1.24e-09
AX1-1b_LP-DIR-T-17	AX1-1b	AX1-1b_LP-DIR-T	1.9	213.9	26.1	0	0	0	0	16	833	This study	hargrave 2019-10-20 13:49:19	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.24-1	1.0300000000000001e-07	1.01e-09	2.7300000000000003e-09	2.04e-09
AX1-1b_LP-DIR-T-18	AX1-1b	AX1-1b_LP-DIR-T	3.2	214.8	26.6	0	0	0	0	17	838	This study	hargrave 2019-10-21 08:34:17	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-4.2.24-1	7.65e-08	1.56e-09	3.3500000000000002e-09	2.22e-09
AX1-1b_LP-DIR-T-19	AX1-1b	AX1-1b_LP-DIR-T	4	214.5	28.6	0	0	0	0	18	841	This study	hargrave 2019-10-21 15:19:17	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.24-1	6.25e-08	1.65e-09	3.510000000000001e-09	2.02e-09
AX1-1b_LP-DIR-T-20	AX1-1b	AX1-1b_LP-DIR-T	1.1	220.0	25.2	0	0	0	0	19	843	This study	hargrave 2019-10-25 11:42:49	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.24-1	5.2699999999999995e-08	4.93e-10	4.669999999999999e-10	8.81e-10
AX1-2b_LP-DIR-T-21	AX1-2b	AX1-2b_LP-DIR-T	0.8	224.3	9.9	0	0	0	0	0	273	This study	hargrave 2019-09-13 16:59:52	LT-NO:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.24-1	1.26e-06	1.07e-08	1.26e-08	7.26e-09
AX1-2b_LP-DIR-T-22	AX1-2b	AX1-2b_LP-DIR-T	0.8	228.5	9.7	0	0	0	0	1	373	This study	hargrave 2019-09-20 12:27:40	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.24-1	1.25e-06	1.2e-08	9.2e-09	8.240000000000001e-09
AX1-2b_LP-DIR-T-23	AX1-2b	AX1-2b_LP-DIR-T	1	230.4	9.3	0	0	0	0	2	423	This study	hargrave 2019-09-20 19:16:33	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.24-1	1.23e-06	1.67e-08	1.16e-08	8.02e-09
AX1-2b_LP-DIR-T-24	AX1-2b	AX1-2b_LP-DIR-T	0.4	227.2	9.3	0	0	0	0	3	473	This study	hargrave 2019-09-21 15:08:23	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.24-1	1.2e-06	6.09e-09	5.97e-09	5.3600000000000005e-09
AX1-2b_LP-DIR-T-25	AX1-2b	AX1-2b_LP-DIR-T	0.9	233.6	9.2	0	0	0	0	4	523	This study	hargrave 2019-09-22 12:46:03	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.24-1	1.17e-06	9.8e-09	7.91e-09	1.27e-08
AX1-2b_LP-DIR-T-26	AX1-2b	AX1-2b_LP-DIR-T	2.8	230.3	9.4	0	0	0	0	5	573	This study	hargrave 2019-09-22 18:40:52	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.24-1	1.14e-06	4.1900000000000005e-08	3.41e-08	1.1499999999999999e-08
AX1-2b_LP-DIR-T-27	AX1-2b	AX1-2b_LP-DIR-T	1	232.4	8.5	0	0	0	0	6	623	This study	hargrave 2019-09-27 18:25:43	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.24-1	1.1e-06	1.4499999999999999e-08	1.4099999999999999e-08	4.0299999999999995e-09
AX1-2b_LP-DIR-T-28	AX1-2b	AX1-2b_LP-DIR-T	0.5	231.3	8.9	0	0	0	0	7	673	This study	hargrave 2019-09-28 14:16:21	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.24-1	1.03e-06	2.97e-09	4.14e-09	7.77e-09
AX1-2b_LP-DIR-T-29	AX1-2b	AX1-2b_LP-DIR-T	2.8	230.5	9.4	0	0	0	0	8	723	This study	hargrave 2019-09-29 12:10:08	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.2.24-1	8.67e-07	3.0499999999999995e-08	2.74e-08	9.72e-09
AX1-2b_LP-DIR-T-30	AX1-2b	AX1-2b_LP-DIR-T	2.6	231.7	9.4	0	0	0	0	9	748	This study	hargrave 2019-09-29 17:52:03	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.24-1	7.74e-07	2.7e-08	2.19e-08	8.170000000000001e-09
AX1-2b_LP-DIR-T-31	AX1-2b	AX1-2b_LP-DIR-T	2.4	231.3	10.2	0	0	0	0	10	773	This study	hargrave 2019-10-04 15:43:42	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.24-1	6.75e-07	2.3500000000000002e-08	1.54e-08	7.0700000000000014e-09
AX1-2b_LP-DIR-T-32	AX1-2b	AX1-2b_LP-DIR-T	1.4	231.1	10.3	0	0	0	0	11	793	This study	hargrave 2019-10-05 18:10:07	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.2.24-1	5.01e-07	7.38e-09	8.28e-09	5.07e-09
AX1-2b_LP-DIR-T-33	AX1-2b	AX1-2b_LP-DIR-T	1.5	235.6	11	0	0	0	0	12	813	This study	hargrave 2019-10-06 15:15:36	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.2.24-1	2.33e-07	4.4700000000000005e-09	3.8900000000000004e-09	1.95e-09
AX1-2b_LP-DIR-T-34	AX1-2b	AX1-2b_LP-DIR-T	2.8	228.1	10.9	0	0	0	0	13	818	This study	hargrave 2019-10-14 11:35:10	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.24-1	1.58e-07	6.03e-09	4.73e-09	1.3300000000000002e-09
AX1-2b_LP-DIR-T-35	AX1-2b	AX1-2b_LP-DIR-T	1.9	233.5	11.6	0	0	0	0	14	823	This study	hargrave 2019-10-14 17:57:52	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.24-1	9.96e-08	2.6800000000000003e-09	2.25e-09	6.469999999999999e-10
AX1-2b_LP-DIR-T-36	AX1-2b	AX1-2b_LP-DIR-T	5.5	234.1	10	0	0	0	0	15	828	This study	hargrave 2019-10-19 16:30:01	LT-T-Z:LP-DIR-T	g	36	u	8	273			pmagpy-4.2.24-1	6.4e-08	5.2e-09	3.360000000000001e-09	4.58e-10
AX1-2b_LP-DIR-T-37	AX1-2b	AX1-2b_LP-DIR-T	1.3	230.9	11.4	0	0	0	0	16	833	This study	hargrave 2019-10-20 13:50:52	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.2.24-1	4.8399999999999997e-08	8.46e-10	7.000000000000001e-10	9.16e-10
AX1-2b_LP-DIR-T-38	AX1-2b	AX1-2b_LP-DIR-T	3.6	235.1	13.5	0	0	0	0	17	838	This study	hargrave 2019-10-21 08:35:49	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.2.24-1	3.15e-08	1.7600000000000001e-09	1.23e-09	8.3e-10
AX1-2b_LP-DIR-T-39	AX1-2b	AX1-2b_LP-DIR-T	5	229.1	16.2	0	0	0	0	18	841	This study	hargrave 2019-10-21 15:20:50	LT-T-Z:LP-DIR-T	g	39	u	8	273			pmagpy-4.2.24-1	2.36e-08	1.4099999999999999e-09	1.4000000000000001e-09	8.76e-10
AX1-2b_LP-DIR-T-40	AX1-2b	AX1-2b_LP-DIR-T	3.8	234.7	9.8	0	0	0	0	19	843	This study	hargrave 2019-10-25 11:44:22	LT-T-Z:LP-DIR-T	g	40	u	8	273			pmagpy-4.2.24-1	2.13e-08	1.19e-09	9.49e-10	4.81e-10
AX1-3b_LP-DIR-T-41	AX1-3b	AX1-3b_LP-DIR-T	2	221.3	15.7	0	0	0	0	0	273	This study	hargrave 2019-09-13 17:01:26	LT-NO:LP-DIR-T	g	41	u	8	273			pmagpy-4.2.24-1	1.25e-06	2.96e-08	3.01e-08	1.35e-08
AX1-3b_LP-DIR-T-42	AX1-3b	AX1-3b_LP-DIR-T	3.6	222.7	15.6	0	0	0	0	1	373	This study	hargrave 2019-09-20 12:28:56	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-4.2.24-1	1.25e-06	5.59e-08	5.5e-08	1.47e-08
AX1-3b_LP-DIR-T-43	AX1-3b	AX1-3b_LP-DIR-T	1.7	225.3	15.3	0	0	0	0	2	423	This study	hargrave 2019-09-20 19:17:49	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.2.24-1	1.24e-06	2.7e-08	2.13e-08	1.5e-08
AX1-3b_LP-DIR-T-44	AX1-3b	AX1-3b_LP-DIR-T	2.7	226.8	15.2	0	0	0	0	3	473	This study	hargrave 2019-09-21 15:09:40	LT-T-Z:LP-DIR-T	g	44	u	8	273			pmagpy-4.2.24-1	1.21e-06	4.16e-08	3.5699999999999995e-08	1.29e-08
AX1-3b_LP-DIR-T-45	AX1-3b	AX1-3b_LP-DIR-T	2.3	227.8	15.1	0	0	0	0	4	523	This study	hargrave 2019-09-22 12:47:20	LT-T-Z:LP-DIR-T	g	45	u	8	273			pmagpy-4.2.24-1	1.18e-06	3.53e-08	2.58e-08	1.89e-08
AX1-3b_LP-DIR-T-46	AX1-3b	AX1-3b_LP-DIR-T	1.1	228.2	15.1	0	0	0	0	5	573	This study	hargrave 2019-09-22 18:42:12	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.2.24-1	1.15e-06	7.1e-09	1.22e-08	1.82e-08
AX1-3b_LP-DIR-T-47	AX1-3b	AX1-3b_LP-DIR-T	2.8	228.1	14.2	0	0	0	0	6	623	This study	hargrave 2019-09-27 18:26:54	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-4.2.24-1	1.11e-06	4.13e-08	3.2799999999999996e-08	1.02e-08
AX1-3b_LP-DIR-T-48	AX1-3b	AX1-3b_LP-DIR-T	2.8	226.5	14.2	0	0	0	0	7	673	This study	hargrave 2019-09-28 14:17:50	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-4.2.24-1	1.05e-06	3.76e-08	2.94e-08	1.81e-08
AX1-3b_LP-DIR-T-49	AX1-3b	AX1-3b_LP-DIR-T	4.8	224.5	14.1	0	0	0	0	8	723	This study	hargrave 2019-09-29 12:11:19	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.2.24-1	9.02e-07	4.83e-08	5.5800000000000003e-08	1.85e-08
AX1-3b_LP-DIR-T-50	AX1-3b	AX1-3b_LP-DIR-T	1.5	228.5	13.8	0	0	0	0	9	748	This study	hargrave 2019-09-29 17:53:14	LT-T-Z:LP-DIR-T	g	50	u	8	273			pmagpy-4.2.24-1	8.12e-07	1.35e-08	7.879999999999998e-09	1.4e-08
AX1-3b_LP-DIR-T-51	AX1-3b	AX1-3b_LP-DIR-T	0.9	226.4	14.3	0	0	0	0	10	773	This study	hargrave 2019-10-04 15:45:12	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.2.24-1	7.13e-07	7.6e-09	6.64e-09	4.74e-09
AX1-3b_LP-DIR-T-52	AX1-3b	AX1-3b_LP-DIR-T	0.7	227.1	13.9	0	0	0	0	11	793	This study	hargrave 2019-10-05 18:11:37	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.2.24-1	5.26e-07	3.25e-09	4.39e-09	3.21e-09
AX1-3b_LP-DIR-T-53	AX1-3b	AX1-3b_LP-DIR-T	1.3	224.4	14.5	0	0	0	0	12	813	This study	hargrave 2019-10-06 15:17:06	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.2.24-1	2.62e-07	3.5700000000000007e-09	4.870000000000001e-09	1.6e-09
AX1-3b_LP-DIR-T-54	AX1-3b	AX1-3b_LP-DIR-T	2.9	223.7	14.4	0	0	0	0	13	818	This study	hargrave 2019-10-14 11:36:40	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.2.24-1	1.85e-07	6.520000000000001e-09	6.73e-09	1.1699999999999999e-09
AX1-3b_LP-DIR-T-55	AX1-3b	AX1-3b_LP-DIR-T	3.1	225.2	15.5	0	0	0	0	14	823	This study	hargrave 2019-10-14 17:59:21	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-4.2.24-1	1.28e-07	4.63e-09	5.01e-09	1.61e-09
AX1-3b_LP-DIR-T-56	AX1-3b	AX1-3b_LP-DIR-T	4	226.6	14.4	0	0	0	0	15	828	This study	hargrave 2019-10-19 16:31:30	LT-T-Z:LP-DIR-T	g	56	u	8	273			pmagpy-4.2.24-1	9.13e-08	4.63e-09	4.34e-09	1.15e-09
AX1-3b_LP-DIR-T-57	AX1-3b	AX1-3b_LP-DIR-T	2.3	222.4	18.1	0	0	0	0	16	833	This study	hargrave 2019-10-20 13:52:21	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.2.24-1	7.15e-08	1.49e-09	2.13e-09	1.35e-09
AX1-3b_LP-DIR-T-58	AX1-3b	AX1-3b_LP-DIR-T	5	229.2	14.6	0	0	0	0	17	838	This study	hargrave 2019-10-21 08:37:18	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.2.24-1	5.4e-08	3.4799999999999996e-09	3.12e-09	1.23e-09
AX1-3b_LP-DIR-T-59	AX1-3b	AX1-3b_LP-DIR-T	5	226.2	13.7	0	0	0	0	18	841	This study	hargrave 2019-10-21 15:22:19	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-4.2.24-1	4.8899999999999995e-08	2.7300000000000003e-09	3e-09	1.4699999999999999e-09
AX1-3b_LP-DIR-T-60	AX1-3b	AX1-3b_LP-DIR-T	1.8	228.9	11.9	0	0	0	0	19	843	This study	hargrave 2019-10-25 11:45:53	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-4.2.24-1	4.0300000000000004e-08	8.26e-10	6.98e-10	7.389999999999999e-10
AX1-4b_LP-DIR-T-61	AX1-4b	AX1-4b_LP-DIR-T	2.2	228.2	21.8	0	0	0	0	0	273	This study	hargrave 2019-09-13 17:03:08	LT-NO:LP-DIR-T	g	61	u	8	273			pmagpy-4.2.24-1	1.04e-06	4.35e-09	2.14e-08	3.32e-08
AX1-4b_LP-DIR-T-62	AX1-4b	AX1-4b_LP-DIR-T	4.7	224.3	21.6	0	0	0	0	1	373	This study	hargrave 2019-09-20 12:30:17	LT-T-Z:LP-DIR-T	g	62	u	8	273			pmagpy-4.2.24-1	1.03e-06	4.56e-08	6.51e-08	2.97e-08
AX1-4b_LP-DIR-T-63	AX1-4b	AX1-4b_LP-DIR-T	1.9	224.5	21.3	0	0	0	0	2	423	This study	hargrave 2019-09-20 19:19:08	LT-T-Z:LP-DIR-T	g	63	u	8	273			pmagpy-4.2.24-1	1.02e-06	4.95e-09	2.0299999999999996e-08	2.74e-08
AX1-4b_LP-DIR-T-64	AX1-4b	AX1-4b_LP-DIR-T	2.2	231.3	21.2	0	0	0	0	3	473	This study	hargrave 2019-09-21 15:11:00	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-4.2.24-1	1.01e-06	2.48e-08	8.370000000000001e-09	2.8700000000000002e-08
AX1-4b_LP-DIR-T-65	AX1-4b	AX1-4b_LP-DIR-T	2.3	228.3	21.2	0	0	0	0	4	523	This study	hargrave 2019-09-22 12:48:40	LT-T-Z:LP-DIR-T	g	65	u	8	273			pmagpy-4.2.24-1	9.82e-07	1.44e-08	2.77e-08	2.48e-08
AX1-4b_LP-DIR-T-66	AX1-4b	AX1-4b_LP-DIR-T	1.9	229.0	21.4	0	0	0	0	5	573	This study	hargrave 2019-09-22 18:43:31	LT-T-Z:LP-DIR-T	g	66	u	8	273			pmagpy-4.2.24-1	9.5e-07	2.2599999999999997e-08	5.86e-09	2.2200000000000004e-08
AX1-4b_LP-DIR-T-67	AX1-4b	AX1-4b_LP-DIR-T	3	230.5	20.6	0	0	0	0	6	623	This study	hargrave 2019-09-27 18:28:03	LT-T-Z:LP-DIR-T	g	67	u	8	273			pmagpy-4.2.24-1	9.090000000000001e-07	2.2400000000000002e-08	3.15e-08	2.76e-08
AX1-4b_LP-DIR-T-68	AX1-4b	AX1-4b_LP-DIR-T	2.8	227.5	20.8	0	0	0	0	7	673	This study	hargrave 2019-09-28 14:19:17	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-4.2.24-1	8.47e-07	3.25e-08	1.93e-08	1.88e-08
AX1-4b_LP-DIR-T-69	AX1-4b	AX1-4b_LP-DIR-T	1.4	225.9	21	0	0	0	0	8	723	This study	hargrave 2019-09-29 12:12:27	LT-T-Z:LP-DIR-T	g	69	u	8	273			pmagpy-4.2.24-1	7.03e-07	1.05e-08	1.6699999999999998e-09	1.3600000000000001e-08
AX1-4b_LP-DIR-T-70	AX1-4b	AX1-4b_LP-DIR-T	1.6	226.9	20.7	0	0	0	0	9	748	This study	hargrave 2019-09-29 17:54:23	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-4.2.24-1	6.12e-07	3.91e-09	1.01e-08	1.4e-08
AX1-4b_LP-DIR-T-71	AX1-4b	AX1-4b_LP-DIR-T	2.5	228.6	21.3	0	0	0	0	10	773	This study	hargrave 2019-10-04 15:46:38	LT-T-Z:LP-DIR-T	g	71	u	8	273			pmagpy-4.2.24-1	5.420000000000001e-07	1.22e-08	2.97e-09	1.99e-08
AX1-4b_LP-DIR-T-72	AX1-4b	AX1-4b_LP-DIR-T	2.4	231.7	21.4	0	0	0	0	11	793	This study	hargrave 2019-10-05 18:13:03	LT-T-Z:LP-DIR-T	g	72	u	8	273			pmagpy-4.2.24-1	4.0399999999999996e-07	8.48e-09	3.16e-09	1.48e-08
AX1-4b_LP-DIR-T-73	AX1-4b	AX1-4b_LP-DIR-T	3.1	226.9	21.9	0	0	0	0	12	813	This study	hargrave 2019-10-06 15:18:32	LT-T-Z:LP-DIR-T	g	73	u	8	273			pmagpy-4.2.24-1	2e-07	7.780000000000001e-09	2.49e-09	7.319999999999999e-09
AX1-4b_LP-DIR-T-74	AX1-4b	AX1-4b_LP-DIR-T	2.1	227.9	22.7	0	0	0	0	13	818	This study	hargrave 2019-10-14 11:38:06	LT-T-Z:LP-DIR-T	g	74	u	8	273			pmagpy-4.2.24-1	1.36e-07	2.07e-09	1.66e-09	4.36e-09
AX1-4b_LP-DIR-T-75	AX1-4b	AX1-4b_LP-DIR-T	1.8	228.9	23.6	0	0	0	0	14	823	This study	hargrave 2019-10-14 18:00:47	LT-T-Z:LP-DIR-T	g	75	u	8	273			pmagpy-4.2.24-1	8.68e-08	1.4000000000000001e-09	1.2e-09	2.23e-09
AX1-4b_LP-DIR-T-76	AX1-4b	AX1-4b_LP-DIR-T	3.6	227.0	22.1	0	0	0	0	15	828	This study	hargrave 2019-10-19 16:32:56	LT-T-Z:LP-DIR-T	g	76	u	8	273			pmagpy-4.2.24-1	5.67e-08	2.95e-09	1.59e-09	1.4699999999999999e-09
AX1-4b_LP-DIR-T-77	AX1-4b	AX1-4b_LP-DIR-T	1.6	230.4	24	0	0	0	0	16	833	This study	hargrave 2019-10-20 13:53:47	LT-T-Z:LP-DIR-T	g	77	u	8	273			pmagpy-4.2.24-1	3.93e-08	8.29e-10	7.85e-10	6.900000000000001e-10
AX1-4b_LP-DIR-T-78	AX1-4b	AX1-4b_LP-DIR-T	3.5	232.0	19.5	0	0	0	0	17	838	This study	hargrave 2019-10-21 08:38:44	LT-T-Z:LP-DIR-T	g	78	u	8	273			pmagpy-4.2.24-1	2.37e-08	1.31e-09	9.669999999999999e-10	2.19e-10
AX1-4b_LP-DIR-T-79	AX1-4b	AX1-4b_LP-DIR-T	4.4	223.1	18.7	0	0	0	0	18	841	This study	hargrave 2019-10-21 15:23:46	LT-T-Z:LP-DIR-T	g	79	u	8	273			pmagpy-4.2.24-1	2.2400000000000002e-08	1.31e-09	1.25e-09	3.36e-10
AX1-4b_LP-DIR-T-80	AX1-4b	AX1-4b_LP-DIR-T	4	230.7	14.2	0	0	0	0	19	843	This study	hargrave 2019-10-25 11:47:20	LT-T-Z:LP-DIR-T	g	80	u	8	273			pmagpy-4.2.24-1	1.8300000000000002e-08	1e-09	9.43e-10	2.3099999999999998e-10
AX1-5b_LP-DIR-T-81	AX1-5b	AX1-5b_LP-DIR-T	1.9	229.8	16.9	0	0	0	0	0	273	This study	hargrave 2019-09-13 17:05:42	LT-NO:LP-DIR-T	g	81	u	8	273			pmagpy-4.2.24-1	6.85e-07	1.59e-08	1.56e-08	5.989999999999999e-09
AX1-5b_LP-DIR-T-82	AX1-5b	AX1-5b_LP-DIR-T	3.4	228.6	16.7	0	0	0	0	1	373	This study	hargrave 2019-09-20 12:31:41	LT-T-Z:LP-DIR-T	g	82	u	8	273			pmagpy-4.2.24-1	6.82e-07	3e-08	2.76e-08	4.689999999999999e-09
AX1-5b_LP-DIR-T-83	AX1-5b	AX1-5b_LP-DIR-T	3.1	225.5	16.5	0	0	0	0	2	423	This study	hargrave 2019-09-20 19:20:30	LT-T-Z:LP-DIR-T	g	83	u	8	273			pmagpy-4.2.24-1	6.73e-07	2.58e-08	2.62e-08	4.53e-09
